keyboard1
73720,other
105208,A
125176,other
163576,space
200056,B
213880,R
229240,O
262648,A
281080,D
293368,space
308392,A
322936,N
338680,S
349048,space
365560,A
378616,T
400504,space
417784,H
436600,O
455032,M
494584,E
508456,space
521848,other
536824,space
551800,T
571432,H
598648,E
615160,space
631288,K
669304,E
696184,Y
712360,space
729208,T
745720,O
759976,space
786472,T
799096,H
813352,O
831352,S
864760,E
878968,space
892072,N
911608,E
945016,W
957304,space
971896,R
983800,E
1007608,S
1028344,P
1043656,O
1103992,N
1137448,S
1164664,I
1183912,B
1197352,I
1215400,L
1233448,I
1252648,T
1270696,Y
1283752,space
1297960,L
1310632,I
1329832,E
1344808,S
1359352,space
1372024,I
1387816,N
1414312,space
1432696,P
1449640,L
1480360,A
1499560,X
1512616,I
1529512,N
1561000,G
1577080,space
1590904,A
1610920,N
1649320,S
