keyboard1
53720,T
97400,H
108584,A
121832,T
146600,space
184568,W
198344,H
213368,I
226808,C
241400,H
254072,space
277496,A
288632,space
297464,S
323576,E
331256,N
348584,S
359624,E
374648,space
399608,O
412664,F
424184,space
439544,J
451832,U
463784,S
472568,T
492920,I
502520,C
515960,E
534008,space
583160,R
595064,E
609656,S
622376,T
635000,A
664616,I
679160,N
695672,space
766328,U
775976,S
788264,space
799736,F
811256,R
821240,O
836984,M
853496,space
885752,S
898808,E
910328,E
923768,K
936776,I
951032,N
965624,G
985208,space
1030520,T
1042808,H
1055864,E
1068920,Y
1082744,space
1102712,M
1114280,A
1125368,Y
1150328,B
1161080,E
1178024,space
1218680,R
1230200,E
1245176,A
1273592,S
1289384,O
1306616,N
1319720,A
1327736,B
1355768,L
1373048,E
1408376,space
1455560,E
1470968,X
1484792,P
1504376,E
1517816,C
1530104,T
1537736,E
1548920,D
1565432,space
1588472,W
1600376,I
1613432,L
1623032,L
1638776,I
1654904,N
1667576,G
1693304,L
1740200,Y
1760888,space
1785080,T
1796216,O
1806968,space
1822760,F
1836200,O
1850360,R
1891064,G
1908344,O
1975544,other
1997432,enter
