keyboard1
39070,F
44062,O
52462,R
56734,space
64798,W
73582,E
90478,space
113518,K
136174,N
143854,O
150718,E
163054,space
191854,T
199918,H
208750,A
214174,T
224878,space
263278,O
269038,U
279454,R
286414,space
328606,P
334798,A
370414,T
380014,C
384286,H
437614,W
444238,O
454894,R
462046,K
476830,space
518686,H
537310,E
550126,R
555934,I
628078,T
638830,A
653422,G
659950,E
670366,space
693358,I
698398,S
703390,space
717214,A
725662,space
777070,S
788254,T
802078,R
811294,E
824686,N
840046,G
859678,H
865774,T
877342,enter
