keyboard1
43670,M
48278,A
54038,N
67046,Y
93974,space
105446,S
116582,E
121238,C
133862,T
135446,I
141158,O
146150,N
154214,S
163814,space
180758,O
188774,F
196118,space
229526,O
234902,U
244454,R
255206,C
266774,space
294374,O
303638,U
308582,N
349670,T
368870,R
373526,Y
389222,space
417638,A
423062,N
428822,D
435350,space
449174,M
454214,A
459590,N
472982,Y
481430,space
530534,G
549782,R
553238,O
558230,U
567830,P
574022,S
581654,space
605078,O
614678,F
615734,D
623510,space
665750,O
673094,U
684566,R
693782,space
709526,C
727958,R
733766,I
746006,T
764822,Z
774038,E
780230,N
791654,D
822758,enter
