keyboard1
73520,L
99632,E
110384,T
120752,space
136112,U
146480,S
176672,space
220544,E
233600,A
250880,C
261728,H
275888,space
290432,O
309632,F
326576,space
353024,U
361856,S
404912,other
421040,space
437936,N
459056,O
472064,W
489344,space
514304,E
531632,M
556592,B
572336,R
595376,A
614192,C
633248,E
677168,space
705536,W
718592,I
731744,T
747056,H
766208,space
788528,S
802688,O
815024,L
830384,E
843008,M
856112,N
876080,space
907568,D
921008,U
935552,T
949040,Y
966704,space
1016240,A
1030496,N
1041200,D
1070384,space
1112672,A
1134176,W
1147952,E
1163360,S
1175216,O
1189472,M
1200992,E
1257440,space
1272368,J
1289264,O
1301216,Y
1325792,space
1376480,W
1410272,H
1422512,A
1433696,T
1448240,space
1487456,I
1499360,S
1508960,space
1532768,O
1549280,U
1567328,R
1584608,space
1609952,L
1624160,A
1638368,S
1656464,T
1669088,I
1683680,N
1696400,G
1727840,space
1778576,B
1809296,I
1821200,R
1832288,T
1844960,H
1920272,T
1933664,I
1949840,G
1960976,H
1976288,T
2024336,other
2039552,enter
